chest size,height,waist,head,foot length,weight
86.1,176.1,77.7,59.3,28.4,62.7
104.4,176.7,95.3,59.6,29.1,86.3
92,178.9,90.8,61,26.9,81.7
97.4,174.6,85.1,60.1,26,69.6
96.7,172.9,90.3,58.9,25.8,66.7
93.1,165.1,81.8,56,26.2,64.1
107.3,167.8,96.6,58,25.5,79.6
116.3,175,105.5,58.2,27.5,99.8
95.9,165.6,84.7,60.5,24.1,68.3
101.1,174.5,87.6,58,26.2,77.4
93.5,177.8,86.2,60.1,28.7,78.1
100.6,173.9,88.1,58.9,27.3,69.5
92,179.8,80.2,56.7,26.3,57.8
95.5,183,77.4,54.7,28.2,69.4
109.6,178.4,102.8,60.9,27.9,95.4
94.8,181.2,84.7,58.8,26.4,66.5
89,176.6,79.4,57.4,27.2,63.5
95,172.8,78.2,58.4,27.6,67.9
105.8,169.5,106.6,58.8,27.1,90.5
95.8,181.5,88.8,60.2,26.9,68.4
100.1,178.7,93.9,60.8,27.9,85.4
83.8,177.6,86.7,59.2,27.7,58.7
106.3,181.6,93.8,56.7,28.7,83.1
99.1,164.3,90.7,56.4,24.7,69.3
86.5,182.5,77.2,52.4,27.1,74.8
96.3,171.7,82.6,57,25.6,66.6
88.2,179.7,74.7,56,26.1,66.4
94.4,183.1,83.5,59.2,26.4,74.1
91.7,167.3,81.7,58.6,25.8,55.4
104.4,183,91.1,59,27.1,82.6
94.9,169.9,82.7,58.2,24,66.8
96,175.1,83.4,56.2,26.7,65.2
86.7,176,77.8,58.5,27.2,59.1
113.5,187.5,102.2,60.5,28.4,92.1
96,189.4,88.3,59.9,28.9,83.4
91.3,171.2,81.5,57.8,25.2,62.5
96.3,169.1,85.6,57.5,25.9,69.8
92.1,172.3,79.6,55.6,25.1,59.1
95.5,182.6,90.7,56.7,27.3,82
87.3,174.1,71.7,55.3,25.9,58.3
87.9,173.3,74.2,57.4,27,65
90.1,174.2,79.1,56.3,28.1,64.3
98.4,179,85.3,57.1,26.8,76.5
97.2,170.1,85.6,59.2,25.9,64.8
94.9,193.3,94.9,57.9,31,81.3
95.3,176.5,82.8,57.2,27.5,73.4
95.3,179.8,83.7,58.8,26.5,73.6
97.3,181.6,82.4,56.1,27.4,71.5
100.1,174.3,91.5,60.7,27.3,79.5
101.4,174,90.8,55.9,26.6,72.7
83.4,171.3,71.2,56.5,25,57.4
105.1,183,88.9,59,27.7,77.9
90.3,182.4,82.1,60.4,27.9,75.7
99.9,173.9,88.7,58.2,27.6,79.1
98.4,169.1,87.9,58.6,26.4,67
103,180,97.4,58.3,28,81.1
113.3,165.9,108.2,58.1,24.9,93.8
119.1,187.8,110.6,62.8,33.1,122
92,160,84.4,59.4,25.1,63.4
101.2,174.1,93.9,58.3,25.1,79.5
92.7,181.4,78.7,58.4,26.6,70.3
108.5,180.6,100.9,59.7,25.9,92.6
99,178.9,81.7,60.2,28,74.2
99.9,174.6,78.4,58.9,27,70
96.1,171.8,85.1,59.3,26.2,70.5
92.7,172.5,84.9,57.3,27.8,70.9
95.9,178.8,84.5,58.6,29,71.7
116.7,175,110,58.6,27.3,96.3
80.3,177.2,72.2,52,25.8,56.3
83.4,180.9,80.4,57.4,26.3,60.3
89.8,167.6,83.9,56.5,25.5,66.5
100.4,187.8,91.8,58.8,29.2,83.3
86.5,167.2,77.5,60.8,25.1,64
101.5,162.8,92.6,57.8,24.8,76.4
106.5,182.5,96.4,60,28.4,93.9
89.9,178.1,82.4,55.9,27,57.2
91.2,170.9,75.5,58.2,25.7,60.3
92.7,174.9,76.1,56.9,26,61.4
102.4,172,89.9,59.3,26.5,77.3
91.9,173.5,81.9,57.7,26,58.2
105.4,176.5,98.8,59.5,27,91.1
100.9,172.9,66.7,60.1,29.8,82.9
76.8,166.4,64.6,57,24.4,45.7
109.5,172,90.6,56,24.5,73.4
83.9,170.6,75.2,57.4,26.2,56.7
87,173.8,69.3,53.6,26,52.2
80.1,173.2,65,54.3,25.5,46.8
98.4,174.5,64.6,58.3,27.2,76.1
94.3,188.2,83.8,61.9,28.5,84.2
91.7,163.4,75.6,58.4,25.7,58.4
101.2,176.5,93.8,58,27.6,87
97.9,175.4,76.1,55.3,26.7,68.5
82,169.8,69.3,56.2,25.7,52.4
100.9,183,89.4,59.9,26.6,74.4
104.8,181,95.4,61.3,26.7,82.7
92.8,173.7,71,55.3,25.4,55.9
92.3,181.1,79.9,59.7,28.2,71.7
90.9,173.1,87.6,56.8,26.8,59.4
76.7,170.8,69.4,56,25.8,50.2
92.2,170.2,84.9,56.1,27.1,63.4
89.6,182.2,84.7,58.7,26.9,65.9
115.4,179.5,100.9,60,28.3,103.7
94,173.3,82.6,60.2,26,68.7
96.8,171.9,74.4,57.9,25.8,64.8
85,174.1,75,57.4,26.8,55.9
86.6,168.5,77.1,54.9,26.4,58.6
87,178.4,68.9,54.3,25.9,63.6
111.7,179.9,103.8,56.9,28.7,96.6
88.4,183.2,73.1,61.2,27.2,62.1
95.4,171.2,83.1,56.1,25.3,64.8
91.6,182.5,85.3,60.5,26.2,66.9
95.9,178.2,89.9,56.1,28.6,66.3
88.8,180.4,75.5,59.5,26.7,69.1
89.2,171.3,73.4,56.3,26.3,54.7
91.3,175.8,85.3,56.2,26.4,72
104.9,168.1,92.2,57.2,24.5,74
80.8,168.9,71.2,58.5,24,53.5
93.7,166.5,80.9,59,25.2,64.5
93.5,165.8,92.6,57.8,25.5,69.9
89.5,171.9,71,58,25.4,53.8
99.5,179.9,99.2,56.3,28.1,93.2
101.5,171.7,82,58.3,25.9,65.5
82.7,175.1,72.1,54.8,27.9,55.1
91.9,175.8,75.9,56.7,26.8,56.2
104.4,182.9,91.5,62.4,28.9,82
95.2,172.2,81.7,56.5,24.4,61.8
98,180.4,93.6,59.9,27.1,76.5
89.4,177.2,73.6,52.4,25.4,60.2
85.5,169.3,75.4,55.4,24.2,60.7
97.5,169.8,91,57.5,25.5,70.9
82.5,173.7,80.1,57.3,26.2,62.5
109.7,185,67.9,58.3,28.2,96.3
96.3,175.9,83.6,59.6,27.6,78
100.7,168.7,90.9,57.5,27.2,73.5
105.7,168.8,94,60,24.3,86.8
98.3,169.1,83.8,57.9,25.8,63.4
114.8,184.9,110.4,57.6,25.9,105.5
105.3,177.2,89.1,59.4,25.9,83.3
94.9,176.6,77,56.5,25.9,69.2
97,170.4,84.8,60,25.8,67.2
99.1,175.5,81.8,58.5,25.9,71.7
105.5,169.2,96.7,56.7,27,77
93.6,176.8,81.8,60,27.3,68.1
108.3,180.3,101,60.5,25.8,89.3
97.9,181.5,93.5,58.4,27.5,87.9
102.5,175.6,86.3,60,28.3,73.4
102.7,175.6,91.9,58.2,27,83.5
82.8,174.1,73.1,55.9,26.6,55.7
100.4,176.9,90.3,58.9,26.5,77.8
93.6,167.3,78.4,54.7,25.7,60.5
103.1,176.2,91.7,57.4,26.9,81.3
92.6,174.3,81.5,57.9,25.7,60.2
89.2,178.7,81.4,57.7,28.8,70.9
101.8,183.7,91.6,58.5,27.2,69.6
80.4,165.3,70.3,58.8,24.1,44.1
108.6,172.4,100.4,57.5,27,87.3
95.2,175.3,85.5,56.3,27,78.9
96,177.1,81.1,57.3,27.3,73.1
102.4,179.1,93.8,60.7,27.4,79.2
98.8,168.5,84.6,56.9,24,68.2
86.9,173.8,77.8,55,27,65.5
94.7,171.4,95.6,59.3,27.1,68.6
93.4,180.2,79.3,57,27.5,70.7
113.3,176.9,107.1,56,28.3,93.6
97.1,186.4,90.3,60.1,28.1,85
79.5,172.3,71.2,57.3,26.5,53.7
88.8,176,78.5,57.2,25.7,65.7
90.2,168.4,74,56.4,27,53
84.4,178.4,75.4,55.9,27.8,57.6
106.7,170.1,101.9,56.6,27.4,77
84.1,166.6,72.5,57,25.6,52.6
101.5,184.9,93.8,58.1,27.8,89.5
88.2,193.7,75.6,55.2,29.5,70.6
89.8,180.4,79.8,57.3,26.1,61.7
89.1,176.2,76.9,57.3,27.3,64.1
110.3,185.2,98,58,28.6,89.3
85.1,170.9,72.3,56.8,25.6,56
95.5,169.3,76.4,58.3,27.8,63.8
86.2,171.4,74.3,55.7,25.9,54.4
90.6,164,74.9,56.4,25.7,53.9
112.1,186.8,105.2,62,27.7,103.3
105.6,181.6,99.8,55.7,24.5,70.4
93.1,177.4,79.7,59.9,27.5,69
92.6,171.4,72.1,59.1,25.5,68.6
89.8,180.8,84.3,60.7,26.6,70.6
108.7,176.2,97.8,55.4,26.9,84.5
93.1,169.6,81.3,57.4,24.7,67.7
96.8,170.2,84.3,54.5,26.1,68.4
80.9,172.7,67.4,56,26.2,59.8
104.5,172.9,108.9,57.7,27.8,85.3
89.2,175.1,70.9,58.3,26.5,61.7
123.7,185.8,116.4,59.7,28.9,128.4
93.1,176.8,78,60.4,25.2,68.7
92.6,169.5,79.2,59.2,24.5,65.6
100.6,177.9,92.2,59.7,26,84.1
95.1,176.3,88.6,58.3,26.2,70.7
117.4,174.8,107.8,62.4,27.1,104.9
88.8,170.3,77.7,53.3,25.8,52.9
83.6,175.4,88.8,57.5,26.1,48.5
84.3,164.8,62.8,53.2,24.6,46.6
92.1,169.5,81.7,57.6,25.9,63.4
122,170.4,106.3,56.7,26.8,97.6
91.3,180.8,80.5,59.8,27.2,67.1
99.3,180.4,99,58.4,28.8,86.4
96.2,169.3,89.2,58.1,26.1,71.3
87.4,172.3,85.5,56.4,26.3,57.5
90.6,179.8,79.8,58.9,26.7,68.1
90.4,165.6,74.7,54.5,25.4,55.2
100.1,176.8,84.2,59.5,27.2,77.1
113.2,174.9,99,58.3,26.2,94.6
78.6,168.4,74.9,55.4,24.4,52.1
89.3,161.7,73.7,56.2,26.1,56.2
95.6,175.7,85.4,55.8,27.9,71.7
100.9,181.6,98.3,57,28.5,86.8
102.1,184,92.9,59.7,29.2,83.5
112.2,173.7,89,58.4,25.1,83.9
92.3,172.2,83.4,56.6,26.6,69.1
96.5,173.8,82.1,55.6,26.7,68
98.6,173.9,90.9,59.9,26.7,80.7
103.6,174.3,87,56.3,26.3,78.3
102.9,174.5,97.2,58.8,27.5,85
112.4,182.7,95.9,56.5,29.4,95.2
90,174.4,79.2,56.8,26.5,68.5
95.5,176.4,80.5,57,27,69.3
88.6,172.9,78,60.3,27,59.9
92.4,174.7,64,57,27.2,71
97.5,178.4,87,57.9,27.7,75
100.5,171.3,94.3,56.6,26.7,78.8
87.5,187.9,74.4,55.1,29.2,68.2
91.6,176.2,84.8,59.5,26.9,61.2
105,179.8,94.8,58.1,29.1,85.7
98.1,172.3,77.2,56.9,26.1,71.5
81.6,173.9,65.7,58,26,49.5
93.3,177.8,86.5,57.9,26.6,65.6
92.4,172,85.4,58.4,25.7,65.5
88.2,168.9,83.4,56.4,24.5,53.3
97.9,169.1,85.9,58.4,25,68.3
90.8,171.7,69.8,56.9,25.3,50.6
91.4,173,85.3,59,26.5,75.8
90.9,177.5,72.4,56.2,25.4,54.9
102.5,180.2,94.9,58.8,24.7,86
106.1,170.4,98,57.5,27.8,93.4
106.9,180.4,104.2,61.3,28.1,89.5
90.4,170.7,86.2,54.9,26.6,56.8
107.8,175.4,99.3,59.1,27.7,88.1
105.6,175,66.9,59.9,27.7,74
88.3,181.2,71.1,59.2,26,66
104,176.3,94.3,56.8,26.4,79.3
87.5,173.5,84.1,59.9,25.7,56.6
85.4,169.7,69.7,55.2,25.2,53.6
104.3,168.1,101.3,58.6,26.4,81.1
99.5,170.7,90,56.9,29.1,78.4
92.3,175.6,80.7,60.7,25.6,66.5
102.8,177.8,86.2,59.9,27.9,76.5
96.5,174.6,89.7,58.6,27.7,77.4
93.4,179.6,82.5,53.8,27.8,63
76.6,174.2,68.1,57.8,25.8,46.1
109.4,173.9,83.1,57.3,26.3,81.2
90.7,165.7,79.2,58.5,25.4,63.1
96.8,174.5,81.1,60,30.5,63.4
99.7,180.7,91.4,61.5,27.3,80.9
90.1,169.6,84.3,57.3,25.2,57.8
91.9,173.5,82.6,56.8,28.2,70.8
89.6,174.7,79.2,55.9,25.8,62.7
82.6,171,73,55.6,25.3,54.2
93.6,163.8,74.8,55.8,26.3,59.4
93.2,177.1,88.3,56.7,25,72.2
112.1,181.1,103.5,62.2,28.9,100.2
95.8,180.5,87.6,58.9,29,76.6
102.5,164.6,91.5,59.1,25.6,69.2
85.8,173.3,77.9,55.6,26.4,59.7
91.9,176.7,85.3,56.3,27.4,67.4
77.8,174.8,70.8,53.1,27.6,49.2
93.1,177.8,77.4,55.2,28.1,64.5
90.2,187.8,78.2,59.5,27.4,68.9
85.9,175,74.2,56.3,27.1,59.3
89.9,174.3,76.8,56.5,26.7,62.3
101,172.1,94.8,56.5,25.8,76.6
83.7,169.8,71.3,55.1,26.4,51.5
107.5,179.5,100.2,59.4,25.3,85.7
101.3,180.2,94.7,60.1,28.3,86.6
110.7,168.5,112.5,57.4,25.6,98.3
92.3,173.2,85.6,58.1,26,65
94.9,170.6,82.6,59.2,26.3,64.4
96.4,175,84.6,57.5,27.7,70.9
98,164,85.3,55.9,24.4,66.1
82.3,165.2,72.3,56.6,25.8,54.1
100.9,171.3,87.1,55.6,26,69.4
96.7,183.6,93.4,58,28.2,82.2
103,177.1,92.4,60.8,26.3,81.5
117.3,183.7,109,61,28.1,109.1
94,167.6,56.9,54.3,25.1,58.4
95.2,171.8,83.6,56.4,27.3,72.1
97.7,177.2,82.4,57.5,26.3,70.4
83.8,181.3,71.6,57,27.4,59.5
97.4,167,90.7,54.8,24.6,73
81.5,174,65.8,58.3,26.4,50.7
110.6,176.9,101.8,57.8,27.7,107.5
95,172.4,88.5,58.8,28.2,77.9
96.3,168.5,87.9,53.7,24.9,76.1
83.8,175.7,69.9,55.3,26.2,54.4
110.2,175.3,103.5,60.2,26.1,89.4
93,181.3,78.7,59.1,27.5,72.9
113,174.5,110.4,58.6,26.4,97.2
98.5,169.3,88.1,57.8,27.5,80.3
89.7,169.7,74.1,55.6,26.3,56.9
98.9,175,92.3,60.7,26.4,76.1
105.7,184.3,88.9,59.9,28.4,77.6
100.1,173.2,84.5,61.5,25.7,78
91.3,163.6,73.8,56.6,25.4,57.8
92.9,180.9,77.4,58.4,28.4,68.2
85.4,165.5,68.1,54.3,24.9,48.9
87.6,172.1,78.4,57,25.5,63
115.3,186.1,104.7,59.4,28.9,107.9
90,165.8,83.1,56.8,26.4,63.3
107.8,174.1,96.3,58.2,27,84
83.4,182.1,79.7,55.4,28,65.1
98.3,171.5,87.8,56.5,25.8,68.2
98.4,178,85.1,58.9,27.2,69.4
104.5,160.5,91.9,54.5,24.6,69.3
84.6,173.5,71,55.2,25.4,60
99.4,175.5,88.2,57.3,26.6,70.9
94.6,163.3,92.3,57.6,24.3,75
90.3,175.2,91.1,58.1,26.6,59.9
89,171.8,80.5,56.9,25.1,60.2
105.6,177.2,89.6,58.7,28.2,80.4
97.5,184.3,83.9,55.8,26.4,80.9
104,174.2,87.8,56.8,28.4,76.8
94.5,172,85.5,55.1,27.3,67.8
101.9,175.5,95.2,56.4,27.5,77.7
91.1,166,70.6,55.7,23.9,54.3
89.9,166.5,79.6,57.5,25.1,63.3
93.7,179.1,79,56.5,27.3,69.8
109.3,184.5,99.3,57.6,27.4,92.7
82.4,185.5,79.1,55.7,25.8,68.2
94.6,171,82.3,60,24.5,61.2
88.1,178.2,70.3,58.5,26.3,56.7
117.2,182.2,115.5,56.8,27.1,117.6
97.9,173.8,89,59.3,25.8,73.6
102,171.1,80.8,58.5,26.5,67.4
87.5,172.5,76.6,55.1,26.8,62.1
91,171.2,79.3,56.3,26.2,63.1
90.9,168.7,80.8,56.4,27,65.7
102.2,177.7,85.2,57.8,26.5,72.7
96.2,182.1,81.1,58.2,28.1,70.5
99.2,168.6,91.2,60.8,27.3,75
90.1,184.6,80.3,60.6,26.4,73.1
87.6,161.6,76.5,56.7,23.9,49.2
90.2,168.3,66.7,58.5,25.9,53.2
87.4,165.9,69.1,55.9,24.5,54.2
96.4,164.1,95.1,58.6,26,78
93.6,176.7,86.9,55.5,25.6,69.5
93.5,185.6,84.9,55.5,26.4,72.8
97.3,178.9,75.1,55.7,25.9,67.5
87.9,177.1,75.2,56.9,28.4,59.2
103.9,174.1,88.4,58.9,25.9,72.5
90.2,173.6,76.3,58.5,25.6,65
96.1,172.2,90.8,56.6,26.7,73.4
86.3,172.5,75.2,55.5,25.6,62.9
91.7,184,82.4,55.5,27.7,68.3
109.9,167.3,105.9,62.9,26.6,90.2
96,173.8,78.5,56.4,25.1,67.6
100.1,171.7,89.5,56.1,27,75.3
102.1,170.8,89.1,56.7,25.4,74.3
90.1,179.6,83.3,57,27.3,76.7
93,168.6,79.8,58.8,26,62.5
95.2,175.6,82.8,60.2,26.7,68.3
85.4,169.4,74.3,53.8,25.5,55.6
103.4,165.8,87.6,59.8,27,76.5
98.6,180.1,76.7,56.9,27.7,68.7
97.5,183.7,92.2,58,28,88
114.2,168.6,100.1,59.4,26.6,92.5
94.1,179.8,86.4,57.9,28.4,73.7
108.3,180.3,101,60.5,25.8,89.3
86,171.6,74,59.7,26.2,61
87.1,165.3,72,58.2,25.6,50.8
94.1,172,88.3,57.1,24.8,69.9
102,168.4,84.5,57.2,26.7,68.7
114.3,178.1,109.5,59.9,28.8,94.7
103.1,184.8,94.1,57.6,27,81.8
102.5,183.5,87.4,62.1,26.6,78.8
113.8,172.7,64.4,57.4,24.1,90.8
94,173,81.1,56.3,25.8,64.9
99.9,179.5,93.2,56.1,26.8,78.1
88.9,185.1,84.1,58.8,29.2,69.5
99.8,175.1,77.7,55.8,26.2,71.4
80.8,172.9,71.3,57.1,25.3,53
97.4,177.6,85.2,55.2,26,71.5
86.6,173.4,78.2,56.3,27,63.9
103.7,177.3,84.4,55,27.1,78.6
100.8,174.2,94.2,60.5,25.5,83.5
101.4,171.8,86.7,57.6,26.6,75.7
109.6,177,96.2,59.7,28.7,99.2
96.1,169.3,78.2,55.6,25.6,61.6
100.2,168.2,97,59.2,26.5,75.6
94.7,176.4,85.5,60.3,29.9,74.7
97.6,170.2,82,57.5,25.2,67.6
85.5,179.2,80.2,56.4,26.5,56.3
82.5,171.8,66.2,56.4,25.6,47.6
97,169.8,82.8,56.6,23.6,68.6
95,180.8,83.7,59.8,26.1,73.4
96.3,177.6,89.1,53.7,27,74
94.1,178.3,85.6,59.7,27.8,74.9
89.9,168,77.5,56.4,25.5,61.9
104.2,172.1,90.4,60,27,76.8
93.3,176.2,88.9,56.5,27,62.7
108.7,177.5,101.4,57.8,27.3,94
85.4,180.9,78.8,55.5,26.8,64.1
85.7,181.5,74.7,56.8,27.5,62.2
98.9,174.3,88.4,58.3,26.5,78.9
86.1,177,75.2,60,27.3,63.3
90.4,176.7,74.7,58.5,26.2,53
105.7,172.6,110,59.5,27.1,89.1
102.1,179.2,86.7,58.4,27.4,78.7
90.6,171.7,75.8,57.9,26,67.9
100.9,176.3,83.3,56.5,26.6,72.5
110.9,171.7,109.4,61.7,26.4,94.3
92.6,173.8,91.8,57.8,25.7,66.8
99,180.6,88.6,60,28.7,76.5
94.5,166.9,82.2,56.5,24.6,69.1
86.2,177.6,72.3,59.3,27.7,62.2
100.5,171.8,83.2,56.7,25.8,67.3
85.8,185.4,82.7,58.3,27.9,71
93.4,173,77.7,56.9,26.9,61
102.9,175.2,95.3,59.3,27.8,82
90.6,179.3,71.7,56.8,28.3,64.3
93.7,176.3,87.1,56.7,27.1,67.3
88,168.2,69.5,58.3,26.1,54.1
115.7,174.8,96.1,60,24.6,73.6
94.2,177.5,88.3,56.9,27.3,67.2
89.1,180,76.7,60.6,26.9,65.8
106.2,173.9,93.7,57.4,26.7,85.1
106.5,180.1,103.8,59.8,27.3,91.7
103.8,177.3,97.6,60.6,26.6,84.9
88.3,177.4,81.7,58.1,26.5,64
99.1,173.8,82.5,58.5,26.1,67.2
88.5,170.2,76.9,56.3,24.9,61.8
98,174.6,85.3,56,25.3,68.6
90,186.5,80.1,57.4,29.7,71.3
105.6,181.6,99.8,55.7,24.5,70.4
92.9,180.6,87.7,57.2,26.9,67.2
87.8,176.6,87.1,58.1,26.9,56.2
82.1,163.8,79.1,56.7,23.6,52.6
99.6,167.3,84.7,57.5,25.1,69.3
113.2,171.7,105.2,59.4,25.9,96.7
95.3,170.4,82.3,56.1,26,66.9
80.4,176.1,68.2,55.4,26.3,52.4
88,172,83.9,53.5,24.3,53.6
93.7,187.8,82.8,58.8,28.2,69.6
98.4,172.7,89.3,57.3,26.6,80.9
108.9,175.2,100.7,59.6,27.3,94.5
92.4,176.1,81.4,59.6,25.9,70.6
94.8,177.5,83.6,55.8,27.7,72
101.5,166.6,92.5,57.3,25.4,72.4
100.4,181.2,95.8,59.3,31.9,85
98.9,176.1,82,58.3,28.8,71.1
89.8,169.8,78.7,59.1,24.9,62.6
102.2,167.6,85.7,57.2,25,66.4
86.2,174.6,75.6,57.8,26.4,59.5
95.8,171.3,83.4,57.5,26,69
93.6,178.8,81.5,58.9,27.9,70.2
106.8,175.3,94,60,26.4,84.2
86.8,169.2,78.3,57.6,25.4,60.4
98.6,165.3,88.3,56.4,25,66.1
93.3,179.9,83.7,56.9,27.6,69.5
114.8,167.6,101.5,58.2,26.1,91.1
84.1,173.7,74.8,55.8,24.9,56.4
102.2,176.8,93.6,59,27.9,73.9
88.2,173.3,76,56.4,27.8,65.1
101.7,179.2,91,57.8,27.4,77.4
88,176.5,72.9,58.4,26.2,59.5
108.6,175.8,90,58.3,25.5,74.5
104.9,174,92.6,59.5,26.8,79.9
96.2,179.6,84.7,55.1,33.1,72
86,167.2,74.4,54.9,25.6,55.4
111.3,167.2,102.6,59.2,23.7,88.2
100,176.4,99.1,57.8,27.2,90
95.4,186.7,87.8,58.3,29.3,76.1
90.5,179.3,78.1,59.7,26.4,66.3
104.5,178.1,91,57.6,27.5,78.9
100.4,174.9,87.6,58.1,27.5,74.6
101.9,171.8,71.9,57.7,27.5,78.6
78.5,166,67.2,55.9,26.3,49.3
94,184.1,88.2,57.3,28.1,69.5
101.7,178.9,95.3,56.8,25.4,77.4
92.8,179.8,87.4,59.4,28.3,66.1
104.4,173.6,98.3,59.3,26.6,84.9
84.5,177.7,63.8,55.6,24.4,52.4
89.5,172.2,76.1,57,25.3,62.6
94.2,180.9,87.3,55.3,27.4,64.3
90.6,177.2,80.7,56,27,62.7
89,170.9,68.6,57.8,27,55.4
88.8,170.8,86.4,58,27,68.7
94.6,176.8,79.9,54.7,26.5,70.1
95.5,176.8,85.3,58.2,25.6,69.3
88.3,172.4,75.6,56.1,25.3,54.4
87,172.8,73.5,58.1,25,53.1
93.9,171.3,83.4,56.4,24.9,55.3
109.7,180.5,100.6,59.2,27.3,94
97.8,170.9,82.8,56.1,26.2,68.5
92.1,179,82.4,56.8,26.9,73.8
89.8,173.9,73.2,55.3,26.6,58.4
92.3,170.1,89.8,57.1,25.1,67
94.2,172.8,85.9,56.7,26.6,69.7
75.1,158.9,64,55.6,25.4,42.4
100.2,173.2,89.6,57.3,25.2,73.9
102.7,173.7,88.5,58.7,25.5,79.6
104.1,170.7,97.9,57.4,27.4,86.2
87.5,160.3,73.5,58.9,24.2,51
97.5,166.7,88.1,57.3,24.3,63.4
82.6,164.6,66.4,58.9,24,49.2
98.5,173,85.5,58,24.7,69.9
94.6,164.5,91.9,57.6,25,77.5
84,168.8,75.6,56,25.9,57.8
95.2,180.9,81,61.6,27.8,73.6
93,183.2,82.3,55.6,27,72.1
84.6,176.3,73,56.2,26.6,64.3
105.8,174.8,87.4,56.5,25.9,77.7
106.2,177.1,103.5,57.7,26.9,89
98.5,172.1,78.5,55.7,24.8,67.6
103.6,177.6,93.5,58.9,27.1,84.2
88.8,172.6,73.2,54,24.7,51.8
105.7,169.5,95.8,57.6,26.7,85.7
86.8,170.7,84.4,60.4,23.9,50.9
101.6,179.8,94.5,57.1,28.1,77.9
94.6,178.2,81.8,59,27.1,64.9
116.7,183.5,105.4,58.5,27.3,105.9
100.7,176.8,84.3,59.4,26.7,76.7
91.3,169.4,75.5,59.3,26.7,59.4
85.7,181.4,80.8,57.7,27.1,57.2
85.2,187.6,74.7,58.9,28,58.2
84.2,174.2,73.9,55.3,26.4,57.5
87.6,181.1,74.9,55.4,26.7,65.4
96.3,179.7,82.7,58.3,26.8,69.7
99.9,172,86.5,58.3,25.7,75.2
82.9,166.5,72.5,57.8,24.4,51.4
95.6,178.2,83.8,59.7,28.2,69.9
94.3,174.5,78.5,55.6,26.3,64.1
89.7,178.6,69.9,56,27.8,60.1
97.4,175.2,84.4,57.5,25.2,69
93.3,164.5,80.1,58,23.9,67.4
99.6,176.5,96.3,58.4,27.1,71.9
83.4,173.7,71.6,58.2,27.2,53.8
98.5,178.2,89.2,55.7,27.1,80.7
105.5,170.8,98.3,58.6,26.6,70.7
106.3,167.9,96.2,55.7,24.1,75.6
91.6,175.9,74.5,55.4,27.5,58.2
98.4,177.3,83.5,59.1,27,68.5
97.6,175.5,92,58.4,27,75.4
90.3,174.4,87.1,59.7,27.7,60.1
115.2,171.5,102.2,59.4,27.1,101.1
108.6,179.2,94.9,57.5,27.8,83.9
85.3,172.1,73,55.1,26.4,57.2
84.8,175.1,78.3,52.9,25.4,58
102.5,176,98.9,58.2,27.3,89.2
99.6,174,90.2,57.6,25.5,72
98,176.2,90,59.7,27.4,85.2
84.8,167.1,69.7,54.2,24.7,49.7
78.1,173,67.7,56.3,27.2,54.7
90.6,180.5,78.4,59,27.8,66.7
106.3,183,101.3,57.6,28.6,97
98.1,167.5,91.1,58.3,24.7,72.7
102.1,176.9,97.1,56.4,27.3,85.6
107.5,168.3,95.4,56.2,26,79.9
92.5,177.5,82.1,57,26.7,71.5
85.7,172.9,83.5,56.6,25.6,53.9
85.6,170.9,78.8,57.6,27.1,55.6
87.4,172,76.6,57,27.2,61.3
89.8,173.6,77.1,57.4,27.1,69
94.8,164.8,68.2,57.2,25.4,56
82.5,165.2,68.1,56.2,25.2,50
96,179.1,80.3,59,27,64.9
96.9,183.8,90.2,60.6,29.2,80.2
100.7,170.6,83.3,57.5,26.3,72.1
94.7,172,81.6,57.1,29.2,64.4
93.3,173.9,83.7,57.2,26.1,65.6
92.6,175.4,85,56.7,28.1,70.5
93.3,181.3,84.4,58.1,26.6,67.9
96.1,173.3,88.3,58.2,26.3,67.5
98.2,181.5,77.6,55.5,26.8,64.1
78.6,172.6,70.3,55.9,25.9,52.6
96.5,187.4,88.5,59.4,28.2,76.8
85.2,168,101.3,57.2,24.3,49.8
108.2,170.2,97.1,56.5,26.1,91.4
96,170.6,83.7,57.7,25.3,67.5
101.7,174.3,85.6,56.6,27.2,75
112.8,182.7,111.7,61.1,29,113.1
95.2,171.4,80.4,58.8,25.8,65.3
98.3,174.4,92.6,56.1,27.6,76.1
110.5,177.9,103.5,57.4,27.2,97.7
98.2,175.2,83.6,56.7,26.1,75
90,177.2,77.1,55,27.1,57.7
111.6,180.2,106.3,61.8,29.4,92.4
88.4,166.6,72.8,57.2,24.8,53.8
90.5,170.6,83.3,55.3,26.3,61.3
99,180.3,86.6,55.9,26.4,68.1
102.3,179.3,105.1,59.9,29.7,93.8
103.7,170.9,92.5,57.2,25.4,82.7
114.6,171.9,109,61.5,27.8,103.7
90.2,173.8,76.7,57.6,25.7,57.2
100,173.6,92.1,61.4,28.8,74.8
122.5,176.4,114.8,61.5,25.7,114.1
113.5,180.4,109,59.9,26.9,101.9
103.5,176.7,81.9,54.8,25.7,74.6
88.7,168.3,84.7,56.8,25.9,63.1
100.3,172.8,61.3,56.1,27.6,69.3
99.6,177.4,87.8,58.2,26.7,71.6
115.6,183.1,100.4,59,27.5,96.8
90.2,174.8,77.4,58.4,27.1,69.9
102.6,172.3,90.6,56.7,26.2,81.1
98.7,172.3,93.4,57.1,27.1,77.2
95.2,168.5,87.2,56.9,27,68.1
